Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
209 Yesler Way,Trans to AMR,07/09/2015 04:24:00 AM +0000,47.601719,-122.331826,"(47.601719, -122.331826)",F150076106
2201 Alaskan Way,Aid Response,07/09/2015 04:15:00 AM +0000,47.610762,-122.347609,"(47.610762, -122.347609)",F150076105
1206 E Jefferson St,Rescue Elevator,07/09/2015 04:14:00 AM +0000,47.606203,-122.3167,"(47.606203, -122.3167)",F150076104
Fremont Av N / N 34th St,Aid Response,07/09/2015 04:03:00 AM +0000,47.64959,-122.349747,"(47.64959, -122.349747)",F150076103
3610 Ne 42nd St,Automatic Fire Alarm Resd,07/09/2015 03:54:00 AM +0000,47.659166,-122.289164,"(47.659166, -122.289164)",F150076100
Utah Av S / S Massachusetts St,Aid Response,07/09/2015 03:53:00 AM +0000,47.588229,-122.33512,"(47.588229, -122.33512)",F150076099
836 28th Av S,Activated CO Detector,07/09/2015 03:53:00 AM +0000,47.595195,-122.296481,"(47.595195, -122.296481)",F150076098
S Homer St / Padilla Pl S,Brush Fire,07/09/2015 03:49:00 AM +0000,47.551149,-122.322329,"(47.551149, -122.322329)",F150076097
1770 Nw 58th St,Aid Response,07/09/2015 03:43:00 AM +0000,47.670905,-122.379633,"(47.670905, -122.379633)",F150076096
N 130th St / Aurora Av N,Aid Response,07/09/2015 03:34:00 AM +0000,47.723212,-122.344977,"(47.723212, -122.344977)",F150076095
1251 S Cloverdale St,Aid Response,07/09/2015 03:33:00 AM +0000,47.526447,-122.316894,"(47.526447, -122.316894)",F150076094
1220 Ne 143rd St,Aid Response,07/09/2015 03:29:00 AM +0000,47.732149,-122.315237,"(47.732149, -122.315237)",F150076089
S Alaska St / 38th Av S,Aid Response,07/09/2015 03:29:00 AM +0000,47.560741,-122.284906,"(47.560741, -122.284906)",F150076090
303 S Jackson St,Medic Response,07/09/2015 03:28:00 AM +0000,47.599199,-122.33005,"(47.599199, -122.33005)",F150076084
1919 1st Av,Aid Response,07/09/2015 03:27:00 AM +0000,47.61031,-122.341375,"(47.61031, -122.341375)",F150076082
S Judkins St / 12th Av S,Brush Fire,07/09/2015 03:25:00 AM +0000,47.59154,-122.317281,"(47.59154, -122.317281)",F150076081
Pine St / Minor Av,Aid Response,07/09/2015 03:23:00 AM +0000,47.614921,-122.328712,"(47.614921, -122.328712)",F150076080
12553 4th Av Nw,Aid Response,07/09/2015 03:21:00 AM +0000,47.72012,-122.36231,"(47.72012, -122.36231)",F150076078
173 S Washington St,Aid Response,07/09/2015 03:18:00 AM +0000,47.600881,-122.332252,"(47.600881, -122.332252)",F150076076
940 N 98th St,Rescue Elevator,07/09/2015 03:09:00 AM +0000,47.700531,-122.34679,"(47.700531, -122.34679)",F150076074
115 N 36th St,Auto Fire Alarm,07/09/2015 03:06:00 AM +0000,47.652928,-122.357499,"(47.652928, -122.357499)",F150076073
4540 University Way Ne,Aid Response,07/09/2015 03:05:00 AM +0000,47.661628,-122.313124,"(47.661628, -122.313124)",F150076072
1220 Ne 143rd St,Aid Response,07/09/2015 03:03:00 AM +0000,47.732149,-122.315237,"(47.732149, -122.315237)",F150076071
411 University St,Aid Response,07/09/2015 02:58:00 AM +0000,47.60828,-122.334742,"(47.60828, -122.334742)",F150076069
318 2nd Av Et  S,Aid Response,07/09/2015 02:56:00 AM +0000,47.6002,-122.330547,"(47.6002, -122.330547)",F150076067
3516 S Juneau St,Auto Fire Alarm,07/09/2015 02:46:00 AM +0000,47.549771,-122.288767,"(47.549771, -122.288767)",F150076065
351 Broad St,Aid Response,07/09/2015 02:45:00 AM +0000,47.618606,-122.350324,"(47.618606, -122.350324)",F150076064
6135 35th Av S,Medic Response,07/09/2015 02:45:00 AM +0000,47.546102,-122.289002,"(47.546102, -122.289002)",F150076063
4105 Leary Way Nw,Fire in Building,07/09/2015 02:35:00 AM +0000,47.65697,-122.3628,"(47.65697, -122.3628)",F150076057
2528 Sw 112th St,Train Derailment wFireHzmt,07/09/2015 02:34:00 AM +0000,47.502795,-122.364674,"(47.502795, -122.364674)",V150076056
3rd Av S / S Washington St,Aid Response,07/09/2015 02:31:00 AM +0000,47.600877,-122.330268,"(47.600877, -122.330268)",F150076054
4020 Ne 72nd St,Aid Response,07/09/2015 02:30:00 AM +0000,47.680886,-122.284906,"(47.680886, -122.284906)",F150076053
10732 8th Av Ne,Aid Response,07/09/2015 02:30:00 AM +0000,47.706746,-122.320523,"(47.706746, -122.320523)",F150076052
2000 1st Av,Aid Response,07/09/2015 02:27:00 AM +0000,47.611068,-122.342612,"(47.611068, -122.342612)",F150076051
E PIKE ST / 11TH AV,Aid Response,07/09/2015 02:27:00 AM +0000,47.614094,-122.318141,"(47.614094, -122.318141)",F150076050
3rd Av / Pine St,Aid Response,07/09/2015 02:24:00 AM +0000,47.610743,-122.338702,"(47.610743, -122.338702)",F150076049
N 34th St / Albion Pl N,Aid Response,07/09/2015 02:08:00 AM +0000,47.648842,-122.344766,"(47.648842, -122.344766)",F150076047
N 34th St / Albion Pl N,Aid Response,07/09/2015 02:07:00 AM +0000,47.648842,-122.344766,"(47.648842, -122.344766)",F150076045
Wallingford Av N / N 40th St,MVI - Motor Vehicle Incident,07/09/2015 02:04:00 AM +0000,47.655649,-122.336257,"(47.655649, -122.336257)",F150076043
N 40th St / Wallingford Av N,MVI - Motor Vehicle Incident,07/09/2015 02:03:00 AM +0000,47.655649,-122.336257,"(47.655649, -122.336257)",F150076042
4822 Delridge Way Sw,Aid Response,07/09/2015 02:02:00 AM +0000,47.559075,-122.362899,"(47.559075, -122.362899)",F150076041
6338 31st Av Sw,Brush Fire,07/09/2015 02:01:00 AM +0000,47.546379,-122.371671,"(47.546379, -122.371671)",F150076040
9407 5th Av Sw,Medic Response,07/09/2015 02:01:00 AM +0000,47.519041,-122.341612,"(47.519041, -122.341612)",F150076039
1811 Eastlake Av,Medic Response,07/09/2015 01:54:00 AM +0000,47.618002,-122.329183,"(47.618002, -122.329183)",F150076037
2200 Nw Market St,Aid Response,07/09/2015 01:49:00 AM +0000,47.668678,-122.384746,"(47.668678, -122.384746)",F150076036
Sw Concord St / 45th Av Sw,MVI - Motor Vehicle Incident,07/09/2015 01:43:00 AM +0000,47.524164,-122.390182,"(47.524164, -122.390182)",F150076034
21st Av Ne / Ne 83rd St,1RED 1 Unit,07/09/2015 01:38:00 AM +0000,47.68983,-122.305706,"(47.68983, -122.305706)",F150076033
1501 10th Av E,Auto Fire Alarm,07/09/2015 01:34:00 AM +0000,47.632287,-122.320207,"(47.632287, -122.320207)",F150076029
24th Av Nw / Nw 54th St,Aid Response,07/09/2015 01:33:00 AM +0000,47.667968,-122.387638,"(47.667968, -122.387638)",F150076030
223 Yesler Way,Unk Odor,07/09/2015 01:33:00 AM +0000,47.601718,-122.331581,"(47.601718, -122.331581)",F150076028
1501 17th Av,Auto Fire Alarm,07/09/2015 01:21:00 AM +0000,47.614106,-122.310161,"(47.614106, -122.310161)",F150076023
62 Cedar St,Auto Fire Alarm,07/09/2015 01:20:00 AM +0000,47.615116,-122.351504,"(47.615116, -122.351504)",F150076022
202 6th Av S,Aid Response,07/09/2015 01:18:00 AM +0000,47.600854,-122.326354,"(47.600854, -122.326354)",F150076019
2nd Av / Lenora St,Aid Response,07/09/2015 01:18:00 AM +0000,47.612502,-122.343053,"(47.612502, -122.343053)",F150076021
E Mercer St / Melrose Av E,Aid Response,07/09/2015 01:17:00 AM +0000,47.624282,-122.327881,"(47.624282, -122.327881)",F150076018
Nw Market St / 8th Av Nw,Aid Response,07/09/2015 01:12:00 AM +0000,47.668653,-122.366178,"(47.668653, -122.366178)",F150076016
1700 23rd Av,Aid Response,07/09/2015 01:11:00 AM +0000,47.616491,-122.302623,"(47.616491, -122.302623)",F150076015
202 6th Av S,Aid Response,07/09/2015 01:10:00 AM +0000,47.600854,-122.326354,"(47.600854, -122.326354)",F150076014
4th Av S / Seattle Blvd S,Aid Response,07/09/2015 01:08:00 AM +0000,47.596486,-122.329046,"(47.596486, -122.329046)",F150076013
Ne 98th St / 17th Av Ne,Medic Response,07/09/2015 01:06:00 AM +0000,47.700321,-122.309551,"(47.700321, -122.309551)",F150076012
E Madison St / 17th Av,Aid Response,07/09/2015 01:01:00 AM +0000,47.61559,-122.310151,"(47.61559, -122.310151)",F150076010
10th Av / E Pine St,Aid Response,07/09/2015 01:00:00 AM +0000,47.615245,-122.319465,"(47.615245, -122.319465)",F150076009
3201 Sw Graham St,Aid Response,07/09/2015 12:55:00 AM +0000,47.54666,-122.373219,"(47.54666, -122.373219)",F150076008
1200 University St,Aid Response,07/09/2015 12:54:00 AM +0000,47.611943,-122.325987,"(47.611943, -122.325987)",F150076007
12327 Pinehurst Way Ne,Aid Response,07/09/2015 12:51:00 AM +0000,47.717768,-122.310408,"(47.717768, -122.310408)",F150076006
15th Av W / W Boston St,MVI - Motor Vehicle Incident,07/09/2015 12:36:00 AM +0000,47.638633,-122.376149,"(47.638633, -122.376149)",F150076004
N Northgate Way / Corliss Av N,Aid Response,07/09/2015 12:35:00 AM +0000,47.708646,-122.331314,"(47.708646, -122.331314)",F150076003
500 Pine St,Auto Fire Alarm,07/09/2015 12:35:00 AM +0000,47.611672,-122.336484,"(47.611672, -122.336484)",F150076002
Delridge Way Sw / Sw Myrtle St,MVI - Motor Vehicle Incident,07/09/2015 12:28:00 AM +0000,47.539147,-122.360938,"(47.539147, -122.360938)",F150076001
1420 Western Av,Auto Fire Alarm,07/09/2015 12:26:00 AM +0000,47.607557,-122.340392,"(47.607557, -122.340392)",F150076000
Lake City Way Ne / Ne 125th St,Rubbish Fire,07/09/2015 12:17:00 AM +0000,47.719279,-122.295233,"(47.719279, -122.295233)",F150075996
1932 2nd Av,Alarm Bell,07/09/2015 12:15:00 AM +0000,47.611207,-122.340864,"(47.611207, -122.340864)",F150075995
204 3rd Av S,Aid Response,07/09/2015 12:13:00 AM +0000,47.600843,-122.330271,"(47.600843, -122.330271)",F150075994
1903 Aurora Av N,Brush Fire,07/09/2015 12:07:00 AM +0000,47.636996,-122.344141,"(47.636996, -122.344141)",F150075993
9th Av / Pike St,Bark Fire,07/09/2015 12:05:00 AM +0000,47.612535,-122.331134,"(47.612535, -122.331134)",F150075992
1107 1st Av,Aid Response,07/09/2015 12:02:00 AM +0000,47.605452,-122.336931,"(47.605452, -122.336931)",F150075991
2917 S Snoqualmie St,Aid Response,07/08/2015 11:58:00 PM +0000,47.561509,-122.29496,"(47.561509, -122.29496)",F150075990
4085 Hillcrest Av Sw,Medic Response,07/08/2015 11:55:00 PM +0000,47.566343,-122.404057,"(47.566343, -122.404057)",F150075989
E Yesler Way / 23rd Av,1RED 1 Unit,07/08/2015 11:51:00 PM +0000,47.601667,-122.302339,"(47.601667, -122.302339)",F150075988
22nd Av / E Union St,Medic Response- 6 per Rule,07/08/2015 11:50:00 PM +0000,47.612933,-122.303635,"(47.612933, -122.303635)",F150075985
140 4th Av N,Aid Response,07/08/2015 11:48:00 PM +0000,47.619041,-122.348899,"(47.619041, -122.348899)",F150075984
320 Ne 76th St,Automatic Medical Alarm,07/08/2015 11:45:00 PM +0000,47.683564,-122.325145,"(47.683564, -122.325145)",F150075983
4800 Sand Point Way Ne,Auto Fire Alarm,07/08/2015 11:31:00 PM +0000,47.664393,-122.283353,"(47.664393, -122.283353)",F150075982
1604 Ne 50th St,Aid Response,07/08/2015 11:27:00 PM +0000,47.664884,-122.310756,"(47.664884, -122.310756)",F150075979
2101 E Yesler Way,Fire in Building,07/08/2015 11:27:00 PM +0000,47.601672,-122.305031,"(47.601672, -122.305031)",F150075980
Ne 145th St / 15th Av Ne,Brush Fire,07/08/2015 11:25:00 PM +0000,47.733952,-122.312749,"(47.733952, -122.312749)",F150075977
2101 Ferry Av Sw,Medic Response,07/08/2015 11:25:00 PM +0000,47.585364,-122.387189,"(47.585364, -122.387189)",F150075978
1519 12th Av,Aid Response,07/08/2015 11:23:00 PM +0000,47.614317,-122.316839,"(47.614317, -122.316839)",F150075974
3610 33rd Av S,Trans to AMR,07/08/2015 11:22:00 PM +0000,47.571499,-122.290999,"(47.571499, -122.290999)",F150075975
42ND AV SW / SW LANDER ST,Aid Response,07/08/2015 11:21:00 PM +0000,47.579305,-122.385247,"(47.579305, -122.385247)",F150075973
434 N 35th St,Auto Fire Alarm,07/08/2015 11:20:00 PM +0000,47.651214,-122.353609,"(47.651214, -122.353609)",F150075972
720 Broadway,Aid Response,07/08/2015 11:18:00 PM +0000,47.608299,-122.320755,"(47.608299, -122.320755)",F150075971
13000 Lake City Way Ne,Brush Fire,07/08/2015 11:15:00 PM +0000,47.722899,-122.293194,"(47.722899, -122.293194)",F150075969
1020 Seneca St,Aid Response,07/08/2015 11:09:00 PM +0000,47.610396,-122.327328,"(47.610396, -122.327328)",F150075967
1811 Eastlake Av,Trans to AMR,07/08/2015 11:06:00 PM +0000,47.618002,-122.329183,"(47.618002, -122.329183)",F150075966
6838 35th Av Ne,Automatic Fire Alarm Resd,07/08/2015 11:05:00 PM +0000,47.677939,-122.290335,"(47.677939, -122.290335)",F150075965
5801 Beacon Av S,Brush Fire,07/08/2015 11:01:00 PM +0000,47.550543,-122.301905,"(47.550543, -122.301905)",F150075964
4915 25th Av Ne,Aid Response,07/08/2015 10:55:00 PM +0000,47.664543,-122.300895,"(47.664543, -122.300895)",F150075961
3100 Fairview Av E,Wires Down,07/08/2015 10:55:00 PM +0000,47.649148,-122.32447,"(47.649148, -122.32447)",F150075962
14200 Linden Av N,Aid Response,07/08/2015 10:51:00 PM +0000,47.731677,-122.347772,"(47.731677, -122.347772)",F150075960
S Lucile St / Airport Way S,Aid Response,07/08/2015 10:47:00 PM +0000,47.553351,-122.321004,"(47.553351, -122.321004)",F150075959
Highland Park Way Sw / West Marginal Way S,Aid Response,07/08/2015 10:40:00 PM +0000,47.538315,-122.334445,"(47.538315, -122.334445)",F150075956
318 2nd Av Et  S,Trans to AMR,07/08/2015 10:38:00 PM +0000,47.6002,-122.330547,"(47.6002, -122.330547)",F150075958
2801 W Elmore St,Natural Gas Leak,07/08/2015 10:31:00 PM +0000,47.657696,-122.392859,"(47.657696, -122.392859)",F150075954
2801 W Elmore St,Natural Gas Leak,07/08/2015 10:31:00 PM +0000,47.657696,-122.392859,"(47.657696, -122.392859)",F150075955
Stewart St / Minor Av,Aid Response,07/08/2015 10:22:00 PM +0000,47.61761,-122.331859,"(47.61761, -122.331859)",F150075953
Olson Pl Sw / Sw Cambridge Pl,Aid Response,07/08/2015 10:20:00 PM +0000,47.518536,-122.339451,"(47.518536, -122.339451)",F150075952
1112 33rd Av S,Medic Response,07/08/2015 10:15:00 PM +0000,47.59338,-122.290348,"(47.59338, -122.290348)",F150075950
S Washington St / Occidental Av S,Medic Response,07/08/2015 10:14:00 PM +0000,47.600882,-122.332877,"(47.600882, -122.332877)",F150075949
2106 Ne 47th St,Auto Fire Alarm,07/08/2015 10:12:00 PM +0000,47.663074,-122.305164,"(47.663074, -122.305164)",F150075948
9645 Renton Av S,Mutual Aid- Task Force,07/08/2015 10:06:00 PM +0000,47.515841,-122.26808,"(47.515841, -122.26808)",F150075945
1701 13th Av S,Medic Response,07/08/2015 10:04:00 PM +0000,47.588422,-122.315981,"(47.588422, -122.315981)",F150075944
9999 Holman Rd Nw,Aid Response,07/08/2015 09:54:00 PM +0000,47.701698,-122.362125,"(47.701698, -122.362125)",F150075940
5444 Delridge Way Sw,Aid Response,07/08/2015 09:51:00 PM +0000,47.553321,-122.362969,"(47.553321, -122.362969)",F150075938
1300 University St,Aid Response,07/08/2015 09:50:00 PM +0000,47.612408,-122.324876,"(47.612408, -122.324876)",F150075937
N 90th St / Densmore Av N,Aid Response,07/08/2015 09:48:00 PM +0000,47.694148,-122.337827,"(47.694148, -122.337827)",F150075936
9th Av / James St,Natural Gas Odor,07/08/2015 09:45:00 PM +0000,47.605555,-122.324749,"(47.605555, -122.324749)",F150075935
321 10th Av,Rescue Elevator,07/08/2015 09:39:00 PM +0000,47.604532,-122.319411,"(47.604532, -122.319411)",F150075933
3rd Av / Pine St,Aid Response,07/08/2015 09:38:00 PM +0000,47.610743,-122.338702,"(47.610743, -122.338702)",F150075934
515 Minor Av,Trans to AMR,07/08/2015 09:35:00 PM +0000,47.606467,-122.320874,"(47.606467, -122.320874)",F150075932
1555 23rd Av,Medic Response- 6 per Rule,07/08/2015 09:31:00 PM +0000,47.614791,-122.302663,"(47.614791, -122.302663)",F150075930
725 9th Av,Rescue Elevator,07/08/2015 09:24:00 PM +0000,47.606444,-122.325563,"(47.606444, -122.325563)",F150075924
210 Alaskan Way S,Aid Response,07/08/2015 09:23:00 PM +0000,47.600816,-122.335963,"(47.600816, -122.335963)",F150075922
101 Stewart St,Medic Response- 7 per Rule,07/08/2015 09:22:00 PM +0000,47.610282,-122.341334,"(47.610282, -122.341334)",F150075921
1401 Broadway,Rescue Elevator,07/08/2015 09:21:00 PM +0000,47.612963,-122.320762,"(47.612963, -122.320762)",F150075920
Broadway / E James Way,Aid Response,07/08/2015 09:16:00 PM +0000,47.607218,-122.320752,"(47.607218, -122.320752)",F150075919
4217 Sw Oregon St,Medic Response,07/08/2015 09:15:00 PM +0000,47.562881,-122.385671,"(47.562881, -122.385671)",F150075917
2224 8th Av,Rescue Elevator,07/08/2015 09:14:00 PM +0000,47.617439,-122.3395,"(47.617439, -122.3395)",F150075916
5107 24th Av Ne,Medic Response,07/08/2015 09:05:00 PM +0000,47.665882,-122.301932,"(47.665882, -122.301932)",F150075914
437 Ne 72nd St,Rescue Elevator,07/08/2015 09:02:00 PM +0000,47.680651,-122.323999,"(47.680651, -122.323999)",F150075912
1043 S Washington St,Aid Response,07/08/2015 09:02:00 PM +0000,47.600875,-122.317951,"(47.600875, -122.317951)",F150075911
